Datetime,Open,High,Low,Close,Volume
2025-10-29,114.52,117.25,114.52,116.9,1152263
2025-10-30,115.9,117.55,114.62,117.25,788935
2025-10-31,117.83,117.95,116.79,117.1,727675
2025-11-03,117.68,118.06,117.1,117.47,1362188
2025-11-04,116.99,117.22,116.3,116.87,665153
2025-11-06,117.77,118.59,116.61,117.91,794014
2025-11-07,117.55,117.55,116.75,117.28,720330
2025-11-10,118.89,119.33,117.52,119.16,723835
2025-11-11,122.13,122.13,120.35,120.96,966816
2025-11-12,120.9,120.9,119.9,120.63,727433
2025-11-13,121.9,123.58,121.88,123.32,1424967
2025-11-14,123.31,123.32,121.27,122.01,1219753
2025-11-17,120.99,120.99,118.75,119.97,1135917
2025-11-18,118.92,118.92,117.17,118.67,1031174
2025-11-19,119.99,120.51,119.0,120.05,566515
2025-11-20,120.04,120.05,118.58,119.24,2058872
2025-11-21,122.22,122.22,118.25,119.67,453583
2025-11-24,121.67,121.67,119.16,119.96,402094
2025-11-25,121.94,121.95,120.87,121.31,589262
2025-11-26,121.48,122.5,121.47,122.35,824929
2025-11-27,122.35,122.7,121.89,122.39,566873
2025-11-28,125.44,125.44,122.2,122.49,782952
2025-12-01,125.0,125.3,123.63,125.03,1221998
2025-12-02,128.15,128.15,123.46,124.01,1266819
2025-12-03,124.51,125.2,124.45,124.74,687397
2025-12-04,124.74,124.99,124.0,124.58,681754
2025-12-05,124.57,125.44,124.31,125.3,630402
2025-12-08,125.3,125.47,124.98,125.16,627143
2025-12-09,124.42,125.17,124.02,124.7,605696
2025-12-10,121.58,125.61,121.58,124.85,744260
2025-12-11,124.85,125.69,124.42,125.56,717262
2025-12-12,127.0,129.0,126.61,128.31,1455128
2025-12-15,131.51,131.62,128.24,130.28,1828372
2025-12-16,114.55,129.99,114.55,128.69,2396361
2025-12-17,125.47,130.67,125.47,129.01,1649955
2025-12-18,129.76,129.76,128.82,129.09,1429546
2025-12-19,132.31,132.31,128.36,128.97,1542396
2025-12-22,131.2,131.2,129.58,130.79,2014178
2025-12-23,134.05,134.09,131.87,132.6,1687390
2025-12-24,135.91,135.91,132.51,132.88,1761074
2025-12-26,132.89,139.89,132.68,134.57,1416958
2025-12-29,137.93,137.93,131.31,132.67,2646713
2025-12-30,129.35,132.0,129.24,130.71,1488526
2025-12-31,130.0,130.89,127.03,129.94,3773912
2026-01-01,129.98,129.98,129.3,129.72,1004366
2026-01-02,130.31,131.69,130.31,131.22,1468568
2026-01-05,127.93,132.9,127.93,132.47,3273586
2026-01-06,133.99,134.27,132.53,132.96,2585587
2026-01-07,134.16,134.17,132.2,132.58,1230519
2026-01-08,135.89,135.89,130.92,131.79,2736325
2026-01-09,132.04,133.29,132.0,133.03,1808398
2026-01-12,134.98,137.6,134.31,136.71,3400081
2026-01-13,138.4,138.4,135.9,136.84,2774803
2026-01-14,138.19,139.98,136.62,139.04,2208137
2026-01-16,139.0,139.8,136.83,138.1,2747673
2026-01-19,139.4,142.89,139.01,141.69,2949636
2026-01-20,145.23,149.99,141.62,147.25,6112654
2026-01-21,150.93,161.73,150.2,157.49,8243415
2026-01-22,154.9,154.9,136.1,146.45,6261930
2026-01-23,150.11,154.9,148.3,149.27,6364819
2026-01-27,155.0,156.9,150.9,154.26,3596956
2026-01-28,158.11,160.7,155.6,159.43,5073968
2026-01-29,164.11,173.5,164.11,171.62,9316287
2026-01-30,169.9,169.9,151.2,155.3,10396194
2026-02-01,139.9,150.3,135.52,148.3,6863575
2026-02-02,152.0,152.0,132.53,140.55,10815183
2026-02-03,142.0,148.1,142.0,146.7,5505515
2026-02-04,151.11,156.3,150.9,152.42,3733118
2026-02-05,152.42,152.42,144.51,147.99,5417318
2026-02-06,146.07,148.26,144.0,147.65,3478957
2026-02-09,151.35,151.85,149.47,150.4,2395542
2026-02-10,147.0,150.92,147.0,150.58,1446077
2026-02-11,150.1,151.87,150.1,151.02,1265385
2026-02-12,151.02,151.39,150.39,150.95,1079306
2026-02-13,149.89,149.89,146.16,148.22,1826365
2026-02-16,151.92,151.92,147.72,149.34,1160570
2026-02-17,148.21,148.32,145.16,146.43,2128598
2026-02-18,150.09,150.09,145.9,146.48,4217035
2026-02-19,150.14,150.14,148.11,149.29,1415830
2026-02-20,149.99,150.0,148.19,149.82,1104324
2026-02-23,153.56,156.48,151.8,152.53,1786180
2026-02-24,153.1,155.0,153.04,154.05,1616481
2026-02-25,154.05,156.0,153.2,154.53,1547838
2026-02-26,153.01,154.52,152.62,153.38,1216542
2026-02-27,155.89,155.89,153.11,154.34,859614
2026-03-02,158.55,166.2,158.55,161.83,6698786
2026-03-04,158.9,158.9,154.09,157.36,3359036
2026-03-05,158.9,158.9,154.41,155.39,1951181
2026-03-06,155.17,155.37,153.22,153.53,1967796
2026-03-09,154.88,154.88,152.57,153.84,3241063
2026-03-10,157.68,157.68,154.25,155.47,1378102
2026-03-11,155.51,157.39,154.64,155.48,1132636
2026-03-12,155.37,155.7,154.51,155.5,1546468
2026-03-13,154.99,154.99,152.33,153.05,2090512
2026-03-16,151.89,151.89,149.18,149.79,3579794
2026-03-17,150.54,151.49,150.06,150.42,1511290
2026-03-18,154.18,154.18,149.35,150.22,1624263
2026-03-19,148.5,148.5,143.0,143.43,4905183
2026-03-20,143.43,145.49,139.84,142.39,3299937
2026-03-23,137.44,137.44,127.11,130.75,7662261
2026-03-24,135.71,137.9,132.08,135.26,4958001
2026-03-25,139.5,140.34,137.56,139.85,2426109
2026-03-27,136.35,139.1,136.35,137.85,1942790
2026-03-30,140.6,142.99,138.55,141.64,1874589
2026-04-01,142.8,147.64,142.8,143.84,2830472
2026-04-02,145.7,145.7,140.0,141.57,1355155
2026-04-06,141.58,144.58,141.41,144.38,2574994
2026-04-07,147.98,147.98,142.02,143.59,939182
2026-04-08,146.16,147.21,145.3,145.84,2174389
2026-04-09,144.98,144.98,143.8,144.59,837852
2026-04-10,146.09,146.09,144.37,144.95,726625
2026-04-13,144.5,145.61,144.23,145.12,760183
2026-04-15,147.15,147.76,146.57,147.09,1116457
2026-04-16,148.89,148.89,146.96,147.46,2568989
2026-04-17,147.31,147.31,146.05,146.79,1468263
2026-04-20,143.12,148.0,143.12,146.87,1749393
2026-04-21,146.87,147.4,146.79,147.14,1271365
2026-04-22,150.81,150.81,143.46,146.63,581107
2026-04-23,145.91,146.2,145.47,145.88,684192
2026-04-24,145.8,145.86,144.79,145.62,694602
2026-04-27,147.62,147.62,145.7,145.81,677219
2026-04-28,146.16,146.16,144.03,144.21,1122933
2026-04-29,144.05,144.3,142.52,142.76,1010264
2026-04-30,141.3,146.32,141.3,144.74,1255568
2026-05-04,145.43,145.43,143.44,143.73,911674
2026-05-05,143.0,143.43,142.68,143.32,1126775
2026-05-06,146.9,146.9,144.85,145.42,1764696
2026-05-07,145.92,146.8,145.67,146.12,1634710
2026-05-08,146.27,146.35,145.64,145.9,705400
2026-05-11,149.54,149.54,144.51,144.77,4587402
2026-05-12,144.77,148.38,144.77,146.1,2478202
2026-05-13,152.11,155.57,151.72,154.27,5697515
